Name,URL,Conf.,Year,Used,Description,Produced,Description,Data,PDF_file_name,citeNum,Public
Chainsaw: Chained Automated Workflow-based Exploit Generation,https://dl.acm.org/citation.cfm?id=2978380&CFID=798977837&CFTOKEN=23312577,CCS,2016,Yes,Our dataset covers all test subjects used in two close works to,Yes," generating 199 exploits, including 30 second-order exploits, and has no false positives by design.",Data,p641-alhuzali.pdf,0,NA
Stemming Downlink Leakage from Training Sequences in Multi-User MIMO Networks,https://dl.acm.org/authorize.cfm?key=N14465,CCS,2016,No,\,No,\,Non-data,p1580-mao.pdf,0,NA
A Protocol for Privately Reporting Ad Impressions at Scale,https://dl.acm.org/authorize.cfm?key=N14466,CCS,2016,No,\,No,\,Non-data,p1591-green.pdf,0,NA
On the Provable Security of (EC)DSA Signatures,https://dl.acm.org/authorize.cfm?key=N14461,CCS,2016,No,\,No,\,Non-data,p1651-fersch.pdf,0,NA
Alternative Implementations of Secure Real Numbers,https://dl.acm.org/authorize.cfm?key=N14385,CCS,2016,No,\,No,\,Non-data,p553-dimitrov.pdf,0,NA
On the Security and Usability of Segment-based Visual Cryptographic Authentication Protocols,https://dl.acm.org/authorize.cfm?key=N14389,CCS,2016,No,\,No,\,Non-data,p603-wang.pdf,0,NA
SandScout: Automatic Detection of Flaws in iOS Sandbox Profiles,https://dl.acm.org/authorize.cfm?key=N14397,CCS,2016,Yes,\,Yes,\,Non-data,p704-deshotels.pdf,0,NA
All Your DNS Records Point to Us,https://dl.acm.org/authorize.cfm?key=N14342,CCS,2016,Yes,choose a snapshot of Alexas top 1 million domain list| we use the DNS tool dig to retrieve the DNS records,No,\,Data,p1414-liu.pdf,0,NA
MiddlePolice: Toward Enforcing Destination-Defined Policies in the Middle of the Internet,https://dl.acm.org/authorize.cfm?key=N14330,CCS,2016,Yes,including 52680 ASes and their business relationships,No,\,Data,p1268-liu.pdf,0,NA
Host of Troubles: Multiple Host Ambiguities in HTTP Implementations,https://dl.acm.org/authorize.cfm?key=N14450,CCS,2016,Yes,We brought 1.5 million advertising im- pressions,No,\,Data,p1516-chen.pdf,0,NA
Lurking Malice in the Cloud: Understanding and Detecting Cloud Repository as a Malicious Service,https://dl.acm.org/authorize.cfm?key=N14452,CCS,2016,Yes,The good buckets were gathered from the Alexa top 3K websites|we visited each website using a crawler,Yes,"BarFinder reported 730 suspi- cious repositories|These Bars were found to directly serve 156,608 domains",Data,p1541-liao.pdf,0,NA
Protecting Insecure Communications with Topology-aware Network Tunnels,https://dl.acm.org/authorize.cfm?key=N14331,CCS,2016,Yes,"we evaluated 10,000 popular web domains according to Alexa",Yes,"Our final list, including the initial domains",Data,p1280-kontaxis.pdf,0,NA
Private eCash in Practice (Short Paper).,https://doi.org/10.1007/978-3-662-54970-4_6,FC,2016,No,\,No,\,Non-data,06_Barki.pdf,0,NA
Evidence of spatial embedding in the IPv4 router-level Internet network,https://arxiv.org/pdf/1410.3340v1.pdf,NA,2014,Yes,by the Center for Applied Internet Data Analysis (CAIDA)|the MaxMind Geolite database for a subset of the routers to varying levels of precision.,No,\,Data,1410.3340v1.pdf,0,NA
