provider,dataset,ourSubCategory,ourMainCategory,shortDescription,category,subcategory
"Merit Network, Inc.",BGP route hijacking May ,Adverse Events,Macro-level Internet Characteristics,BGP route hijacking event ,BGP Routing Data,BGP Routing Data
"Merit Network, Inc.",BGP_route_hijack_,Adverse Events,Macro-level Internet Characteristics,A BGP route hijacking incident ,BGP Routing Data,BGP Routing Data
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a,Adverse Events,Macro-level Internet Characteristics,supplement data for A12,Address Space Allocation Data,Network Outage
University of Southern California-Information Sciences Institute,internet_outage_survey_it,Adverse Events,Macro-level Internet Characteristics,outages in a sample of IPv4 /24 blocks,Address Space Allocation Data,Network Outage
Packet Clearing House,PCH - BGP Outage Data,Adverse Events,Macro-level Internet Characteristics,Logs of Internet outage events.,BGP Routing Data,BGP Routing Data
Packet Clearing House,PCH - Routing Prefix Origin Inconsistencies,Adverse Events,Macro-level Internet Characteristics,Daily tables of BGP inconsistencies,BGP Routing Data,Routing Prefix Origin Inconsistencies
"Merit Network, Inc.",Darkhex (6 concurrent /8 collections),Alerts,Defender Artifacts,Blackhole Packet Capture of 5/8,Blackhole Address Space Data,Longitudinal Blackhole Address Space Data
"Merit Network, Inc.",Darknet ,Alerts,Defender Artifacts,Blackhole Packet Capture of 1/8,Blackhole Address Space Data,Longitudinal Blackhole Address Space Data
"Merit Network, Inc.",Darknet bad_,Alerts,Defender Artifacts,Blackhole Packet Capture of bad_184/8,Blackhole Address Space Data,Longitudinal Blackhole Address Space Data
University of Wisconsin,DSHIELD Logs,Alerts,Defender Artifacts,Firewall/IDS logs from 1700+ networks,IDS and Firewall Data,Global Intrusion Detection Database
University of Michigan,HTTPS ecosystem,Alerts,Defender Artifacts,scans of the HTTPS ecosystem,Application Layer Security Data,SSL Certificate Data
"Merit Network, Inc.",Longitudinal Darknet ,Alerts,Defender Artifacts,Network telescope data from 35/8 block,Blackhole Address Space Data,Longitudinal Blackhole Address Space Data
"Merit Network, Inc.",Network Scanners ,Alerts,Defender Artifacts,Network scanners from Darknet monitor,Blackhole Address Space Data,Network Scanning appearing in Darknet data
UCSD - Center for Applied Internet Data Analysis,Three Days Of Conficker Dataset,Alerts,Defender Artifacts,Three days of UCSD Network Telescope dat,Blackhole Address Space Data,UCSD Archived Network Telescope Data
UCSD - Center for Applied Internet Data Analysis,Two-Days-in-2008 Telescope Dataset,Alerts,Defender Artifacts,Two days of UCSD Network Telescope data,Blackhole Address Space Data,UCSD Archived Network Telescope Data
UCSD - Center for Applied Internet Data Analysis,UCSD Industry Evaluation Near-Real Time Network Telescope Dataset,Alerts,Defender Artifacts,One-Year-Old Traces from the UCSD Networ,Blackhole Address Space Data,UCSD Real-time Network Telescope Data
UCSD - Center for Applied Internet Data Analysis,UCSD Real-time Network Telescope Data,Alerts,Defender Artifacts,Traces from the UCSD Network Telescope,Blackhole Address Space Data,UCSD Real-time Network Telescope Data
University of Wisconsin,Network Time Protocol (NTP) packet traces,Applications,Macro-level Internet Characteristics,Network Time Protocol (NTP) packet traces,IP Packet Headers,IP Packet Headers
University of Wisconsin,Web Cookie Data,Applications,Macro-level Internet Characteristics,Web Cookies,Traffic Flow Data,Traffic Flow Data
University of Southern California-Information Sciences Institute,attack-servpath-tcpsyn-,Attacks,Attacker Related,tcp syn attack with background traffic,IP Packet Headers,IP Packet Headers
University of Southern California-Information Sciences Institute,attack-servpath-udp,Attacks,Attacker Related,short attack on UDP port 22 captured at ,IP Packet Headers,IP Packet Headers
University of Southern California-Information Sciences Institute,attack-tcpsyn-,Attacks,Attacker Related,tcp syn attack with background traffic,IP Packet Headers,IP Packet Headers
University of Southern California-Information Sciences Institute,attack-udp,Attacks,Attacker Related,attack on UDP port 22,IP Packet Headers,IP Packet Headers
UCSD - Center for Applied Internet Data Analysis,Backscatter-,Attacks,Attacker Related,Quarterly DoS backscatter traces,Blackhole Address Space Data,UCSD Archived Network Telescope Data
UCSD - Center for Applied Internet Data Analysis,Backscatter-tocs,Attacks,Attacker Related,Quarterly DoS backscatter traces,Blackhole Address Space Data,UCSD Archived Network Telescope Data
UCSD - Center for Applied Internet Data Analysis,CAIDA DDoS 2007 Attack Dataset,Attacks,Attacker Related,Anonymized traffic from a DDoS Attack,IP Packet Headers,DDoS Attack IP Packet Headers
UCSD - Center for Applied Internet Data Analysis,CAIDA Two-Days-In-2008 Telescope Dataset,Attacks,Attacker Related,Dataset of two full days of traces from ,IP Packet Headers,DDoS Attack IP Packet Headers
UCSD - Center for Applied Internet Data Analysis,Code Red Dataset,Attacks,Attacker Related,Data for the CodeRed Worm outbreak,Blackhole Address Space Data,UCSD Archived Network Telescope Data
Georgia Tech,Conficker Botnet Sinkhole Connection Data,Attacks,Attacker Related,Conficker Client Connection Data,Sinkhole Data,Botnet Sinkhole Data
Colorado State University,CSUSpamLogs,Attacks,Attacker Related,Spam Logs from a Large University,Unsolicited Bulk Email Data,CSU Spam Logs
"Merit Network, Inc.",DDOS_Chargen_,Attacks,Attacker Related,Internet traffic data containing a DDoS attack based on UDP Chargen protocol,Traffic Flow Data,Traffic Flow Data
"Merit Network, Inc.",DNS AMPL DDOS DEC,Attacks,Attacker Related,A DNS-based amplification DDOS attack,Traffic Flow Data,Traffic Flow Data
University of Southern California-Information Sciences Institute,DoS_,Attacks,Attacker Related,DoS TCP SYN/ACK trace,IP Packet Headers,IP Packet Headers
University of Southern California-Information Sciences Institute,DoS_traces-,Attacks,Attacker Related,Set of 3 DoS attacks from 2002,IP Packet Headers,IP Packet Headers
Georgia Tech,Flashback Botnet Sinkhole Connection Data,Attacks,Attacker Related,Flashback Client Connection Data,Sinkhole Data,Botnet Sinkhole Data
Colorado State University,FRGP_SSDP_Reflection_DDoS_Attack_Traffic-,Attacks,Attacker Related,SSDP reflection attack,Traffic Flow Data,Continuous Flow Data
Colorado State University,FRGPNTPFlowData-,Attacks,Attacker Related,NTP reflection attack,Traffic Flow Data,Continuous Flow Data
Georgia Tech,GT Malware Passive DNS Data Daily Feed,Attacks,Attacker Related,GT Malware Passive DNS Data Daily Feed,DNS Data,GT Malware Passive DNS Data Daily Feed
Georgia Tech,GT Malware Unsolicited Email Daily Feed,Attacks,Attacker Related,GT Malware Unsolicited Email Daily Feed,Unsolicited Bulk Email Data,GT Malware Unsolicited Email Daily Feed
Georgia Tech,Historical GT Malware Passive DNS Data ,Attacks,Attacker Related,GT Malware Passive DNS Data 2011-2013,DNS Data,GT Historical Malware Passive DNS Data
University of Michigan,ims-bagle_backdoor,Attacks,Attacker Related,IMS data from the Bagle backdoor,Blackhole Address Space Data,Blackhole Address Space Data
University of Michigan,ims-dabber,Attacks,Attacker Related,IMS data from the Dabber worm,Blackhole Address Space Data,Blackhole Address Space Data
University of Michigan,ims-mydoom_backdoor,Attacks,Attacker Related,IMS data from the MyDoom backdoor,Blackhole Address Space Data,Blackhole Address Space Data
University of Michigan,ims-mysqlbot,Attacks,Attacker Related,IMS data from the MySQLbot worm,Blackhole Address Space Data,Blackhole Address Space Data
University of Michigan,ims-sasser,Attacks,Attacker Related,IMS data from the Sasser worm,Blackhole Address Space Data,Blackhole Address Space Data
University of Michigan,ims-tcp42_wins,Attacks,Attacker Related,IMS data from the TCP/42 WINS worm,Blackhole Address Space Data,Blackhole Address Space Data
University of Michigan,ims-tcp6101_veritas,Attacks,Attacker Related,IMS data from the TCP/6101 Veritas worm,Blackhole Address Space Data,Blackhole Address Space Data
University of Michigan,ims-trend-,Attacks,Attacker Related,IMS Trend data,Blackhole Address Space Data,Blackhole Address Space Data
University of Michigan,ims-witty,Attacks,Attacker Related,IMS data from the Witty worm,Blackhole Address Space Data,Blackhole Address Space Data
University of Southern California-Information Sciences Institute,internet_address_hitlist_it,Attacks,Attacker Related,IPhitlist based on census up to it28w,Address Space Allocation Data,IP Hit Lists
University of Southern California-Information Sciences Institute,internet_address_hitlist_standing_w-,Attacks,Attacker Related,Standing request for histlist datasets,Address Space Allocation Data,Standing IP Hit Lists
University of Southern California-Information Sciences Institute,iperf_emulated_attacks-,Attacks,Attacker Related,Emulated attacks in enterprise traffic,Synthetically Generated Data,Experimental Data
Georgia Tech,Kraken Botnet Sinkhole Connection Data,Attacks,Attacker Related,Kraken Client Connection Data,Sinkhole Data,Botnet Sinkhole Data
"Merit Network, Inc.",Mirai scanning ,Attacks,Attacker Related,Network scanning attributed to the Mirai worm. The worm infects IoT devices and tries to propagate by scanning for insecure Telnet channels. ,Blackhole Address Space Data,Network Scanning appearing in Darknet data
"Merit Network, Inc.",NTP DDoS ,Attacks,Attacker Related,NTP Denial of Service attacks,Traffic Flow Data,Traffic Flow Data
"Merit Network, Inc.",PAM13 dataset (Reputation Block Lists),Attacks,Attacker Related,Blacklisted IPs,Traffic Flow Data,Traffic Flow Data
UCSD - Center for Applied Internet Data Analysis,Patch Tuesday Dataset,Attacks,Attacker Related,Two months of aggregated data from the U,Blackhole Address Space Data,UCSD Archived Network Telescope Data
"Merit Network, Inc.",RADB DDoS ,Attacks,Attacker Related,A DDoS event against the RADb service,Traffic Flow Data,Traffic Flow Data
"Merit Network, Inc.",SIP_scanning_2016 ,Attacks,Attacker Related,Malicious scanning related to SIP,Traffic Flow Data,Traffic Flow Data
"Merit Network, Inc.",SSDP DDoS attack ,Attacks,Attacker Related,A DDoS attack based on the SSDP protocol,Traffic Flow Data,Traffic Flow Data
"Merit Network, Inc.",syn-flood-attack,Attacks,Attacker Related,Netflow data for a syn flood,Traffic Flow Data,Traffic Flow Data
UCSD - Center for Applied Internet Data Analysis,UCSD Telescope Darknet Scanners dataset,Attacks,Attacker Related,IPs for h-scans of the network telescope,Blackhole Address Space Data,UCSD Archived Network Telescope Data
UCSD - Center for Applied Internet Data Analysis,UCSD Telescope Sipscan dataset,Attacks,Attacker Related,Information about UDP packets captured during the Sipscan event (Jan-Feb 2011),Blackhole Address Space Data,UCSD Archived Network Telescope Data
University of Southern California-Information Sciences Institute,UniformAttack_traces-,Attacks,Attacker Related,Artificial traces with uniform attacks,IP Packet Headers,IP Packet Headers
UCSD - Center for Applied Internet Data Analysis,Witty Worm Dataset,Attacks,Attacker Related,Data for the Witty Worm outbreak,Blackhole Address Space Data,UCSD Archived Network Telescope Data
University of Southern California-Information Sciences Institute,Bottleneck_traces-,Benchmark,Macro-level Internet Characteristics,bottleneck trace at USC Internet2 link,IP Packet Headers,IP Packet Headers
Packet Clearing House,E2ENRM,Benchmark,Macro-level Internet Characteristics,End-to-End Network Reliability Metrics,Performance and Quality Measurements,VOIP Measurement Data
Packet Clearing House,FCC US ISP Broadband Performance Characterization,Benchmark,Macro-level Internet Characteristics,US ISP broadband characterization,Performance and Quality Measurements,Broadband Measurement Data
