Paper ID,Coder,Paper name,URL,Conference,Year,DHS funding,Data Used or Produced?,Description,Public?,In IMPACT / PREDICT?,Data link,Research or Industry?,Data Category
,Muwei,Website-Targeted False Content Injection by Network Operators',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/nakibly,USENIX,2016,No,Produced,Grouping and analyzing injections,No,No,\,Research,Adverse Events
,Hannah,The MALICIA Dataset: Identification and Analysis of Drive-by Download Operations.,https://lirias.kuleuven.be/bitstream/123456789/464045/1/malicia_dataset.pdf,International Journal of Information Security,2015,No,Produced,"collect over time how exploit servers are configured, which exploits they use, and what malware they distribute, grouping servers with similar configurations intooperations",Yes,No,http://malicia-project.com/,Research,Attacks
,Hannah,Search + Seizure: The Effectiveness of Interventions on SEO Campaigns,http://conferences2.sigcomm.org/imc/2014/papers/p359.pdf,IMC (Internet Measurement Conference),2014,No,Produced,"provide the first large-scale empirical characterization of SEO abuse for luxury brands. fetch visitor data for each store by visiting the publicly ac- cessible default AWStats URL, In the PSR data set, we found 68,193 ‰ÛÏhacked‰Ûù search results.",No,No,\,Research,Attacks
,Hannah,AUDACIOUS: User-Driven Access Control with Unmodified Operating Systems,https://dl.acm.org/authorize?N14357,CCS,2016,No,Produced,1060 errors acros 88 of the top 100 free applications in the Android application store caused by event and click forgery,No,No,\,Research,Attacks
,Hannah,New Security Threats Caused by IMS-based SMS Service in 4G LTE Networks,https://dl.acm.org/authorize.cfm?key=N14328,CCS,2016,No,Produced,Attacks based on those vulnerabilities crafted,Yes,No,Data in paper,Research,Attacks
,Hannah,Analyzing Forged SSL Certificates in the Wild,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6956558,SP,2014,No,Produced,~6K websites with forged SSL certificates,No,No,\,Research,Attacks
,Hannah,An Empirical Comparison of Botnet Detection Methods,https://pdfs.semanticscholar.org/eabb/a0b46f4325d28d6e02f4ebbf70f40a1263a5.pdf,N/A,2014,No,Produced, dataset consisted in a set of virtualized computers running the Microsoft Windows XP SP2 operating system on top of a Linux Debian host,Yes,No,https://mcfp.felk.cvut.cz/,Research,Attacks
,Hannah,Toward Understanding Distributed Blackhole Placement,http://dl.acm.org/citation.cfm?id=1029627,WORM 2004,2004,No,Produced,"Three  successively more specific views of traffic to a network of distributed blackhole sensors. The data was recorded over a one month period with SYN responders on TCP port 135, 445, 4444, and 9996 across all sensors",Yes,No,\,Research,Attacks
,Hannah,Reliable Third-Party Library Detection in Android and its Security Applications,https://dl.acm.org/authorize.cfm?key=N14369,CCS,2016,No,Produced,"360 affected packages from 23 distinct apps with vulnerability of Dropbox SDK versions 1.5.4 and 1.6.1,  394 affected packages from 51 distinct apps with an account hijacking vulnerability, 667 app versions of 296 distinct apps with a cumulative install-base of 3.7bn using ad libs with verified crypto misuse",No,No,\,Research,Attacks
,Muwei,Estimating the costs of consumer-facing cybercrime: A tailored instrument and representative data for six EU countries,http://weis2016.econinfosec.org/wp-content/uploads/sites/2/2016/05/WEIS_2016_paper_54-2.pdf,WEIS,2016,No,Produced,"We develop an instrument to measure the prevalence of cybercrime and the costs to consumers. We collected representative data for adult Internet users in the following six European member states (in protocol order): Germany (DE), Estonia (EE), Italy (IT), the Netherlands (NL), Poland (PL), and the United Kingdom (UK).",Yes(regional EU),No,http:// ecrime-project.eu/,Research,Attacks
