Institution,Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,availableYear,EndYear
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it50c-20121011,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,geoloc_69_70_91_92_110_111_128-20130201,0,0,0,0,0,0,0,0,1,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_census_it73c-20161216,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,geoloc_128_187_195-20120101,0,0,0,0,0,0,0,0,1,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_census_it51c-20121116,0,0,0,0,0,0,0,0,1,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,long_flows_D1_2_days-anonymized-20090605,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_history_it57w-20131127,0,0,0,0,0,0,0,0,2,1,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_address_hitlist_it44w-20111102,0,0,0,0,0,0,1,1,0,1,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_hitlist_it68w-20160121,0,0,0,0,0,0,0,0,0,0,0,0,2016,NULL
"Merit Network, Inc.",BGP Data,0,0,0,1,0,5,1,1,0,0,1,1,2008,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a19g-20150101,0,0,0,0,0,0,0,0,0,0,0,0,2016,2020
University of Southern California-Information Sciences Institute,internet_address_census_it31w-20100208,0,0,0,0,0,2,1,2,0,1,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_census_it50c-20120926,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
Indiana University,Certificates Data,0,0,0,0,0,0,0,0,0,0,0,2,2016,2020
University of Southern California-Information Sciences Institute,Root_DNS_Event-20151130,0,0,0,0,0,0,0,0,0,0,0,0,2016,NULL
University of Southern California-Information Sciences Institute,UniformAttack_Traces_Generated20070821-20041202,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
Packet Clearing House,Skaion 2006 IARPA Dataset,0,0,0,0,0,4,11,12,11,10,5,4,2011,2020
University of Southern California-Information Sciences Institute,usc_lander_ongoing_tracing_scrambled-20050501,0,0,0,0,0,0,0,0,0,0,0,0,2007,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a24g-20160401,0,0,0,0,0,0,0,0,0,0,0,0,2016,NULL
"Merit Network, Inc.",Network Scanners ,0,0,0,0,0,0,0,0,0,0,0,0,2016,2020
