provider,dataset,ourCategory,subcategory,shortDescription,category
"Merit Network, Inc.",BGP_route_hijack_,Adverse Events,BGP Routing Data,A BGP route hijacking incident ,BGP Routing Data
Packet Clearing House,PCH - BGP Outage Data,Adverse Events,BGP Routing Data,Logs of Internet outage events.,BGP Routing Data
Packet Clearing House,PCH - Routing Prefix Origin Inconsistencies,Adverse Events,Routing Prefix Origin Inconsistencies,Daily tables of BGP inconsistencies,BGP Routing Data
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a,Adverse Events,Network Outage,supplement data for A12,Address Space Allocation Data
University of Southern California-Information Sciences Institute,internet_outage_survey_it,Adverse Events,Network Outage,outages in a sample of IPv4 /24 blocks,Address Space Allocation Data
University of Wisconsin,DSHIELD Logs,Adverse Events,Global Intrusion Detection Database,Firewall/IDS logs from 1700+ networks,IDS and Firewall Data
"Merit Network, Inc.",BGP route hijacking May ,Adverse Events,BGP Routing Data,BGP route hijacking event ,BGP Routing Data
Colorado State University,CSUSpamLogs,Attacks,CSU Spam Logs,Spam Logs from a Large University,Unsolicited Bulk Email Data
Colorado State University,FRGPNTPFlowData-,Attacks,Continuous Flow Data,NTP reflection attack,Traffic Flow Data
Colorado State University,FRGP_SSDP_Reflection_DDoS_Attack_Traffic-,Attacks,Continuous Flow Data,SSDP reflection attack,Traffic Flow Data
Colorado State University,IPReputationList,Attacks,IP Reputation Lists,IP Reputation List from eSoft.com,Unsolicited Bulk Email Data
Georgia Tech,Conficker Botnet Sinkhole Connection Data,Attacks,Botnet Sinkhole Data,Conficker Client Connection Data,Sinkhole Data
Georgia Tech,Flashback Botnet Sinkhole Connection Data,Attacks,Botnet Sinkhole Data,Flashback Client Connection Data,Sinkhole Data
Georgia Tech,GT Malware Passive DNS Data Daily Feed,Attacks,GT Malware Passive DNS Data Daily Feed,GT Malware Passive DNS Data Daily Feed,DNS Data
Georgia Tech,GT Malware Unsolicited Email Daily Feed,Attacks,GT Malware Unsolicited Email Daily Feed,GT Malware Unsolicited Email Daily Feed,Unsolicited Bulk Email Data
Georgia Tech,Historical GT Malware Passive DNS Data ,Attacks,GT Historical Malware Passive DNS Data,GT Malware Passive DNS Data 2011-2013,DNS Data
Georgia Tech,Kraken Botnet Sinkhole Connection Data,Attacks,Botnet Sinkhole Data,Kraken Client Connection Data,Sinkhole Data
"Merit Network, Inc.",Darkhex (6 concurrent /8 collections),Attacks,Longitudinal Blackhole Address Space Data,Blackhole Packet Capture of 5/8,Blackhole Address Space Data
"Merit Network, Inc.",Darknet ,Attacks,Longitudinal Blackhole Address Space Data,Blackhole Packet Capture of 1/8,Blackhole Address Space Data
"Merit Network, Inc.",Darknet bad_,Attacks,Longitudinal Blackhole Address Space Data,Blackhole Packet Capture of bad_184/8,Blackhole Address Space Data
"Merit Network, Inc.",DDOS_Chargen_,Attacks,Traffic Flow Data,Internet traffic data containing a DDoS attack based on UDP Chargen protocol,Traffic Flow Data
"Merit Network, Inc.",DNS AMPL DDOS DEC,Attacks,Traffic Flow Data,A DNS-based amplification DDOS attack,Traffic Flow Data
"Merit Network, Inc.",Mirai scanning ,Attacks,Network Scanning appearing in Darknet data,Network scanning attributed to the Mirai worm. The worm infects IoT devices and tries to propagate by scanning for insecure Telnet channels. ,Blackhole Address Space Data
"Merit Network, Inc.",NTP DDoS ,Attacks,Traffic Flow Data,NTP Denial of Service attacks,Traffic Flow Data
"Merit Network, Inc.",PAM13 dataset (Reputation Block Lists),Attacks,Traffic Flow Data,Blacklisted IPs,Traffic Flow Data
"Merit Network, Inc.",RADB DDoS ,Attacks,Traffic Flow Data,A DDoS event against the RADb service,Traffic Flow Data
"Merit Network, Inc.",SIP_scanning_2016 ,Attacks,Traffic Flow Data,Malicious scanning related to SIP,Traffic Flow Data
"Merit Network, Inc.",SSDP DDoS attack ,Attacks,Traffic Flow Data,A DDoS attack based on the SSDP protocol,Traffic Flow Data
"Merit Network, Inc.",syn-flood-attack,Attacks,Traffic Flow Data,Netflow data for a syn flood,Traffic Flow Data
UCSD - Center for Applied Internet Data Analysis,Backscatter-,Attacks,UCSD Archived Network Telescope Data,Quarterly DoS backscatter traces,Blackhole Address Space Data
UCSD - Center for Applied Internet Data Analysis,Backscatter-tocs,Attacks,UCSD Archived Network Telescope Data,Quarterly DoS backscatter traces,Blackhole Address Space Data
UCSD - Center for Applied Internet Data Analysis,CAIDA Anonymized 2007 Internet Traces,Attacks,DDoS Attack IP Packet Headers,packet headers at AMPATH exchange,IP Packet Headers
