Name,URL,Conf.,Year,Used,Description,Produced,Description
A Bayesian Approach to Privacy Enforcement in Smartphones.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/tripp,uss,2014,\,\,\,\
A Cognitive Multifractal Approach to Characterize Complexity of Non-Stationary and Malicious DNS Data Traffic Using Adaptive Sliding Window ,https://www.computer.org/csdl/proceedings/iccicc/2015/7290/00/07259368.pdf,IEEE on Congnitive Computing,2015,Yes,PREDICT ID USC-Lander! DoS_DNS_amplification-20130617 ,No,\
A Fistful of Bitcoins: Characterizing Payments Among Men with No Names,http://conferences.sigcomm.org/imc/2013/papers/imc182-meiklejohnA.pdf,IMC,2013,Yes,Engaged in transactions with random bitcoin users to gain their addresses with suplementary info from forums and websites (bitcointalk and blockchain),No,\
A Hybrid Architecture for Interactive Verifiable Computation.,http://dx.doi.org/10.1109/SP.2013.48,sp,2013,\,\,\,\
A Large-Scale Analysis of the Security of Embedded Firmwares.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/costin,uss,2014,\,\,\,\
A Large-Scale Empirical Analysis of Chinese Web Passwords.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/li_zhigong,uss,2014,\,\,\,\
A Look at Targeted Attacks Through the Lense of an NGO.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/le-blond,uss,2014,\,\,\,\
A Novel Methodology of Router-To-AS Mapping inspired by Community Discovery,https://arxiv.org/ftp/arxiv/papers/1512/1512.03916.pdf,,2015,Yes,"CAIDA ITDK Macroscopic Internet Topology Data Kit, and  PeeringDB",No,\
A Scanner Darkly: Protecting User Privacy from Perceptual Applications.,http://dx.doi.org/10.1109/SP.2013.31,sp,2013,\,\,\,\
Ad-Hoc Secure Two-Party Computation on Mobile Devices using Hardware Tokens.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/demmler,uss,2014,\,\,\,\
All Your Biases Belong to Us: Breaking RC4 in WPA-TKIP and TLS,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-vanhoef.pdf,uss,2015,No,\,Yes,monitors network traffic and collects the necessary ciphertext statistics. like ciphertexts
All Your IFCException Are Belong to Us.,http://dx.doi.org/10.1109/SP.2013.10,sp,2013,\,\,\,\
Ally Friendly Jamming: How to Jam Your Enemy and Maintain Your Own Wireless Connectivity at the Same Time.,http://dx.doi.org/10.1109/SP.2013.22,sp,2013,\,\,\,\
An Empirical Comparison of Botnet Detection Methods,https://pdfs.semanticscholar.org/eabb/a0b46f4325d28d6e02f4ebbf70f40a1263a5.pdf,,2014,Yes,"Three Botnet datasets until May 16th, 2013, Witty Botnet in pcap format, datasets with responses to spoofed DoS traffic and anomalous packets, custom botnet dataset was created to verify five P2P botnet detection algorithms, etc",Yes,Public botnet dataset
An Ideal-Security Protocol for Order-Preserving Encoding.,http://dx.doi.org/10.1109/SP.2013.38,sp,2013,\,\,\,\
An Internet-Wide View of Internet-Wide Scanning.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/durumeric,uss,2014,\,\,\,\
