Name,URL,Conf.,Year,Used,Description,Produced,Description,Data,PDF_file_name
"Geolife: A collaborative social networking service among user, location and trajectory.",http://sites.computer.org/debull/A10june/geolife.pdf,Bulletin of the IEEE Computer Society Technical Committee on Data Engineering,2010,No,\,Yes,\,Non-data,geolife.pdf
SFADiff: Automated Evasion Attacks and Fingerprinting Using Black-box Differential Automata Learning,https://dl.acm.org/authorize.cfm?key=N14464,CCS,2016,No,\,No,\,Non-data,06547124.pdf
Have we Crossed the Line? The Growing Ethical Debate in Modern Computer Security Research,http://www.sigsac.org/ccs/CCS2009/pd/abstract_22.pdf,CCS,2009,No,\,No,\,Non-data,abstract_22.pdf
"Frodo: Take off the Ring! Practical, Quantum-Secure Key Exchange from LWE",https://dl.acm.org/authorize.cfm?key=N14319,CCS,2016,No,\,No,\,Non-data,p1006-bos-1.pdf
On Code Execution Tracking via Power Side-Channe,https://dl.acm.org/authorize.cfm?key=N14310,CCS,2016,Yes,\,No,\,Non-data,p1019-liu.pdf
Coverage-based Greybox Fuzzing as Markov Chain,https://dl.acm.org/authorize.cfm?key=N14311,CCS,2016,No,\,No,\,Non-data,p1032-bohme.pdf
Draco: A System for Uniform and Fine-grained Access Control for Web Code on Android,https://dl.acm.org/authorize.cfm?key=N14249,CCS,2016,No,\,No,\,Non-data,p104-tuncay.pdf
Error Handling of In-vehicle Networks Makes Them Vulnerable,https://dl.acm.org/authorize.cfm?key=N14312,CCS,2016,No,\,No,\,Non-data,p1044-cho.pdf
Using Reflexive Eye Movements for Fast Challenge-Response Authentication,https://dl.acm.org/authorize.cfm?key=N14313,CCS,2016,No,\,Yes,a series of systematic user experiments with 30 participants from the general public,Data,p1056-sluganovic.pdf
When CSI Meets Public WiFi: Inferring Your Mobile Phone Password via WiFi Signals,https://dl.acm.org/authorize.cfm?key=N14314,CCS,2016,No,\,Yes,We collected training and testing data from 10 volunteers.,Data,p1068-li.pdf
VoiceLive: A Phoneme Localization based Liveness Detection for Voice Authentication on Smartphones,https://dl.acm.org/authorize.cfm?key=N14325,CCS,2016,No,\,Yes,We conduct extensive experiments with 12 participants,Data,p1080-zhang.pdf
