Institution	Dataset	Requests	Catergory
"Merit Network, Inc."	BGP route hijacking May 	1	Adverse Events
"Merit Network, Inc."	BGP_route_hijack_	1	Adverse Events
University of Wisconsin	DSHIELD Logs	48	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	2	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	4	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	3	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	4	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	3	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	3	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	1	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	1	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	1	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	1	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	1	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	1	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	1	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	1	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	1	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	1	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	1	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	1	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	0	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	0	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	0	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	0	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	0	Adverse Events
University of Southern California-Information Sciences Institute	internet_outage_adaptive_a	0	Adverse Events
