Conference Name, DBLP Abbreviation
ACM Conference on Computer and Communications Security,ccs
AI & Security Workshop at CCS,ccsaisec
USENIX Security Symposium,uss
IEEE Symposium on Security and Privacy,sp
Network and Distributed System Security Symposium,ndss
APWG Symposium on Electronic Crime Research,ecrime
Cyber Security Experimentation and Test Workshop at USENIX,usscset
International Conference on Financial Cryptography and Data Security,fc
Workshop on Bitcoin and Bitcoin Chain Study at FC,fcw
Internet Measurement Conference,imc
