Paper, URL, Conference, Year
"Unauthorized origin crossing on mobile platforms: threats and mitigation.",http://doi.acm.org/10.1145/2508859.2516727,ccs,2013
"FPDetective: dusting the web for fingerprinters.",http://doi.acm.org/10.1145/2508859.2516674,ccs,2013
"Using SMT solvers to automate design tasks for encryption and signature schemes.",http://doi.acm.org/10.1145/2508859.2516718,ccs,2013
"PCTCP: per-circuit TCP-over-IPsec transport for anonymous communication overlay networks.",http://doi.acm.org/10.1145/2508859.2516715,ccs,2013
"Configuration-based IDS for advanced metering infrastructure.",http://doi.acm.org/10.1145/2508859.2516745,ccs,2013
"Certified computer-aided cryptography: efficient provably secure machine code from high-level implementations.",http://doi.acm.org/10.1145/2508859.2516652,ccs,2013
"Geo-indistinguishability: differential privacy for location-based systems.",http://doi.acm.org/10.1145/2508859.2516735,ccs,2013
"A security framework for the analysis and design of software attestation.",http://doi.acm.org/10.1145/2508859.2516650,ccs,2013
"More efficient oblivious transfer and extensions for faster secure computation.",http://doi.acm.org/10.1145/2508859.2516738,ccs,2013
"Verifiable delegation of computation on outsourced data.",http://doi.acm.org/10.1145/2508859.2516681,ccs,2013
"HIFS: history independence for file systems.",http://doi.acm.org/10.1145/2508859.2516724,ccs,2013
"Anonymous credentials light.",http://doi.acm.org/10.1145/2508859.2516687,ccs,2013
"Computationally complete symbolic attacker and key exchange.",http://doi.acm.org/10.1145/2508859.2516710,ccs,2013
"Fully automated analysis of padding-based encryption in the computational model.",http://doi.acm.org/10.1145/2508859.2516663,ccs,2013
"Elligator: elliptic-curve points indistinguishable from uniform random strings.",http://doi.acm.org/10.1145/2508859.2516734,ccs,2013
"Automatic verification of protocols with lists of unbounded length.",http://doi.acm.org/10.1145/2508859.2516679,ccs,2013
"Deduction soundness: prove one, get five for free.",http://doi.acm.org/10.1145/2508859.2516711,ccs,2013
"Delta: automatic identification of unknown web-based infection campaigns.",http://doi.acm.org/10.1145/2508859.2516725,ccs,2013
"An analysis of the EMV channel establishment protocol.",http://doi.acm.org/10.1145/2508859.2516748,ccs,2013
"BIOS chronomancy: fixing the core root of trust for measurement.",http://doi.acm.org/10.1145/2508859.2516714,ccs,2013
"Policy-based secure deletion.",http://doi.acm.org/10.1145/2508859.2516690,ccs,2013
"Efficient targeted key subset retrieval in fractal hash sequences.",http://doi.acm.org/10.1145/2508859.2516739,ccs,2013
"Flexible and scalable digital signatures in TPM 2.0.",http://doi.acm.org/10.1145/2508859.2516729,ccs,2013
"Ensuring high-quality randomness in cryptographic key generation.",http://doi.acm.org/10.1145/2508859.2516680,ccs,2013
"Formal verification of information flow security for a simple arm-based separation kernel.",http://doi.acm.org/10.1145/2508859.2516702,ccs,2013
"ViceROI: catching click-spam in search ad networks.",http://doi.acm.org/10.1145/2508859.2516688,ccs,2013
"Control-Alt-Hack: the design and evaluation of a card game for computer security awareness and education.",http://doi.acm.org/10.1145/2508859.2516753,ccs,2013
"PoWerStore: proofs of writing for efficient and robust storage.",http://doi.acm.org/10.1145/2508859.2516750,ccs,2013
"Security analysis of pseudo-random number generators with input: /dev/random is not robust.",http://doi.acm.org/10.1145/2508859.2516653,ccs,2013
"Tappan Zee (north) bridge: mining memory accesses for introspection.",http://doi.acm.org/10.1145/2508859.2516697,ccs,2013
"Protecting sensitive web content from client-side vulnerabilities with CRYPTONS.",http://doi.acm.org/10.1145/2508859.2516743,ccs,2013
"When private set intersection meets big data: an efficient and scalable protocol.",http://doi.acm.org/10.1145/2508859.2516701,ccs,2013
"deDacota: toward preventing server-side XSS via automatic code and data separation.",http://doi.acm.org/10.1145/2508859.2516708,ccs,2013
"Protocol misidentification made easy with format-transforming encryption.",http://doi.acm.org/10.1145/2508859.2516657,ccs,2013
"An empirical study of cryptographic misuse in android applications.",http://doi.acm.org/10.1145/2508859.2516693,ccs,2013
"Rethinking SSL development in an appified world.",http://doi.acm.org/10.1145/2508859.2516655,ccs,2013
"Relational abstraction in community-based secure collaboration.",http://doi.acm.org/10.1145/2508859.2516720,ccs,2013
"The robustness of hollow CAPTCHAs.",http://doi.acm.org/10.1145/2508859.2516732,ccs,2013
"Cover your ACKs: pitfalls of covert channel censorship circumvention.",http://doi.acm.org/10.1145/2508859.2516742,ccs,2013
"On the security of TLS renegotiation.",http://doi.acm.org/10.1145/2508859.2516694,ccs,2013
"mXSS attacks: attacking well-secured web-applications by using innerHTML mutations.",http://doi.acm.org/10.1145/2508859.2516723,ccs,2013
"Breaking and entering through the silicon.",http://doi.acm.org/10.1145/2508859.2516717,ccs,2013
"Belief semantics of authorization logic.",http://doi.acm.org/10.1145/2508859.2516667,ccs,2013
"Librando: transparent code randomization for just-in-time compilers.",http://doi.acm.org/10.1145/2508859.2516675,ccs,2013
"Addressing the concerns of the lacks family: quantification of kin genomic privacy.",http://doi.acm.org/10.1145/2508859.2516707,ccs,2013
"Outsourced symmetric private information retrieval.",http://doi.acm.org/10.1145/2508859.2516730,ccs,2013
"Detecting stealthy, distributed SSH brute-forcing.",http://doi.acm.org/10.1145/2508859.2516719,ccs,2013
"Zero-knowledge using garbled circuits: how to prove non-algebraic statements efficiently.",http://doi.acm.org/10.1145/2508859.2516662,ccs,2013
"ShadowReplica: efficient parallelization of dynamic data flow tracking.",http://doi.acm.org/10.1145/2508859.2516704,ccs,2013
"Users get routed: traffic correlation on tor by realistic adversaries.",http://doi.acm.org/10.1145/2508859.2516651,ccs,2013
"Honeywords: making password-cracking detectable.",http://doi.acm.org/10.1145/2508859.2516671,ccs,2013
"An architecture for practical actively secure MPC with dishonest majority.",http://doi.acm.org/10.1145/2508859.2516744,ccs,2013
"Delegatable pseudorandom functions and applications.",http://doi.acm.org/10.1145/2508859.2516668,ccs,2013
"How to keep a secret: leakage deterring public-key cryptosystems.",http://doi.acm.org/10.1145/2508859.2516691,ccs,2013
"Predictability of Android OpenSSL's pseudo random number generator.",http://doi.acm.org/10.1145/2508859.2516706,ccs,2013
"SAuth: protecting user accounts from password database leaks.",http://doi.acm.org/10.1145/2508859.2516746,ccs,2013
"Cross-origin pixel stealing: timing attacks using CSS filters.",http://doi.acm.org/10.1145/2508859.2516712,ccs,2013
"Relational abstract interpretation for the verification of 2-hypersafety properties.",http://doi.acm.org/10.1145/2508859.2516721,ccs,2013
"Low-fat pointers: compact encoding and efficient gate-level implementation of fat pointers for spatial safety and capability-based security.",http://doi.acm.org/10.1145/2508859.2516713,ccs,2013
"LogGC: garbage collecting audit log.",http://doi.acm.org/10.1145/2508859.2516731,ccs,2013
"25 million flows later: large-scale detection of DOM-based XSS.",http://doi.acm.org/10.1145/2508859.2516703,ccs,2013
"A clinical study of risk factors related to malware infections.",http://doi.acm.org/10.1145/2508859.2516747,ccs,2013
"Membership privacy: a unifying framework for privacy definitions.",http://doi.acm.org/10.1145/2508859.2516686,ccs,2013
"Blackbox traceable CP-ABE: how to catch people leaking their keys by selling decryption devices on ebay.",http://doi.acm.org/10.1145/2508859.2516683,ccs,2013
"PHANTOM: practical oblivious computation in a secure processor.",http://doi.acm.org/10.1145/2508859.2516692,ccs,2013
"Polyglots: crossing origins by crossing formats.",http://doi.acm.org/10.1145/2508859.2516685,ccs,2013
"Measuring password guessability for an entire university.",http://doi.acm.org/10.1145/2508859.2516726,ccs,2013
"Content-based isolation: rethinking isolation policy design on client systems.",http://doi.acm.org/10.1145/2508859.2516722,ccs,2013
"Beheading hydras: performing effective botnet takedowns.",http://doi.acm.org/10.1145/2508859.2516749,ccs,2013
"Preventing accidental data disclosure in modern operating systems.",http://doi.acm.org/10.1145/2508859.2516677,ccs,2013
"Privacy-preserving matrix factorization.",http://doi.acm.org/10.1145/2508859.2516751,ccs,2013
"Monitor integrity protection with space efficiency and separate compilation.",http://doi.acm.org/10.1145/2508859.2516649,ccs,2013
"OASIS: on achieving a sanctuary for integrity and secrecy on untrusted platforms.",http://doi.acm.org/10.1145/2508859.2516678,ccs,2013
"ASIST: architectural support for instruction set randomization.",http://doi.acm.org/10.1145/2508859.2516670,ccs,2013
"MinimaLT: minimal-latency networking through better security.",http://doi.acm.org/10.1145/2508859.2516737,ccs,2013
"Security analysis of integrated circuit camouflaging.",http://doi.acm.org/10.1145/2508859.2516656,ccs,2013
"Secure data deletion from persistent media.",http://doi.acm.org/10.1145/2508859.2516699,ccs,2013
"Heart-to-heart (H2H): authentication for implanted medical devices.",http://doi.acm.org/10.1145/2508859.2516658,ccs,2013
"Practical constructions and new proof methods for large universe attribute-based encryption.",http://doi.acm.org/10.1145/2508859.2516672,ccs,2013
"Towards reducing the attack surface of software backdoors.",http://doi.acm.org/10.1145/2508859.2516716,ccs,2013
"When kids' toys breach mobile phone security.",http://doi.acm.org/10.1145/2508859.2516659,ccs,2013
"Fast two-party secure computation with minimal assumptions.",http://doi.acm.org/10.1145/2508859.2516698,ccs,2013
"Practical dynamic proofs of retrievability.",http://doi.acm.org/10.1145/2508859.2516669,ccs,2013
"AVANT-GUARD: scalable and vigilant switch flow management in software-defined networks.",http://doi.acm.org/10.1145/2508859.2516684,ccs,2013
"Diglossia: detecting code injection attacks with precision and efficiency.",http://doi.acm.org/10.1145/2508859.2516696,ccs,2013
"Path ORAM: an extremely simple oblivious RAM protocol.",http://doi.acm.org/10.1145/2508859.2516660,ccs,2013
"Multi-cloud oblivious storage.",http://doi.acm.org/10.1145/2508859.2516673,ccs,2013
"Shady paths: leveraging surfing crowds to detect malicious web pages.",http://doi.acm.org/10.1145/2508859.2516682,ccs,2013
"Impact of integrity attacks on real-time pricing in smart grids.",http://doi.acm.org/10.1145/2508859.2516705,ccs,2013
"AUTOCRYPT: enabling homomorphic computation on servers to protect sensitive web content.",http://doi.acm.org/10.1145/2508859.2516666,ccs,2013
"Quantifying the security of graphical passwords: the case of android unlock patterns.",http://doi.acm.org/10.1145/2508859.2516700,ccs,2013
"FANCI: identification of stealthy malicious logic using boolean functional analysis.",http://doi.acm.org/10.1145/2508859.2516654,ccs,2013
"Security analysis of a widely deployed locking system.",http://doi.acm.org/10.1145/2508859.2516733,ccs,2013
"Hang with your buddies to resist intersection attacks.",http://doi.acm.org/10.1145/2508859.2516740,ccs,2013
"Scheduling black-box mutational fuzzing.",http://doi.acm.org/10.1145/2508859.2516736,ccs,2013
"The impact of vendor customizations on android security.",http://doi.acm.org/10.1145/2508859.2516728,ccs,2013
"Seeing double: reconstructing obscured typed input from repeated compromising reflections.",http://doi.acm.org/10.1145/2508859.2516709,ccs,2013
"Chucky: exposing missing checks in source code for vulnerability discovery.",http://doi.acm.org/10.1145/2508859.2516665,ccs,2013
"AppIntent: analyzing sensitive data transmission in android for privacy leakage detection.",http://doi.acm.org/10.1145/2508859.2516676,ccs,2013
"OAKE: a new family of implicitly authenticated diffie-hellman protocols.",http://doi.acm.org/10.1145/2508859.2516695,ccs,2013
"Obfuscation resilient binary code reuse through trace-oriented programming.",http://doi.acm.org/10.1145/2508859.2516664,ccs,2013
"Düppel: retrofitting commodity operating systems to mitigate cache side channels in the cloud.",http://doi.acm.org/10.1145/2508859.2516741,ccs,2013
"PICCO: a general-purpose compiler for private distributed computation.",http://doi.acm.org/10.1145/2508859.2516752,ccs,2013
"Vetting undesirable behaviors in android apps with permission use analysis.",http://doi.acm.org/10.1145/2508859.2516689,ccs,2013
"Identity, location, disease and more: inferring your secrets from android public resources.",http://doi.acm.org/10.1145/2508859.2516661,ccs,2013
"Is data clustering in adversarial settings secure?",http://doi.acm.org/10.1145/2517312.2517321,ccsaisec,2013
"GOTCHA password hackers!",http://doi.acm.org/10.1145/2517312.2517319,ccsaisec,2013
"Using naive bayes to detect spammy names in social networks.",http://doi.acm.org/10.1145/2517312.2517314,ccsaisec,2013
"Structural detection of android malware using embedded call graphs.",http://doi.acm.org/10.1145/2517312.2517315,ccsaisec,2013
"Approaches to adversarial drift.",http://doi.acm.org/10.1145/2517312.2517320,ccsaisec,2013
"Early security classification of skype users via machine learning.",http://doi.acm.org/10.1145/2517312.2517322,ccsaisec,2013
