Paper, URL, Conference, Year,data,description,pdfName
(Nothing else) MATor(s): Monitoring the Anonymity of Tor's Path Selection.,http://doi.acm.org/10.1145/2660267.2660371,ccs,2014,,,
A Bayesian Approach to Privacy Enforcement in Smartphones.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/tripp,uss,2014,,,
A Computationally Complete Symbolic Attacker for Equivalence Properties.,http://doi.acm.org/10.1145/2660267.2660276,ccs,2014,,,
A Critical Evaluation of Website Fingerprinting Attacks.,http://doi.acm.org/10.1145/2660267.2660368,ccs,2014,,,
A First Look at Performance in Mobile Virtual Network Operators.,http://doi.acm.org/10.1145/2663716.2663752,imc,2014,,,
A Large-Scale Analysis of the Security of Embedded Firmwares.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/costin,uss,2014,,,
A Large-Scale Empirical Analysis of Chinese Web Passwords.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/li_zhigong,uss,2014,,,
A Look at Targeted Attacks Through the Lense of an NGO.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/le-blond,uss,2014,,,
A Look at the Consequences of Internet Censorship Through an ISP Lens.,http://doi.acm.org/10.1145/2663716.2663750,imc,2014,,,
A Machine-learning Approach for Classifying and Categorizing Android Sources and Sinks.,http://www.internetsociety.org/doc/machine-learning-approach-classifying-and-categorizing-android-sources-and-sinks,ndss,2014,,,
A Metric for the Evaluation and Comparison of Keylogger Performance.,https://www.usenix.org/conference/cset14/workshop-program/presentation/fiebig,usscset,2014,,,
A Nearly Four-Year Longitudinal Study of Search-Engine Poisoning.,http://doi.acm.org/10.1145/2660267.2660332,ccs,2014,,,
A New Additive Homomorphic Encryption based on the co-ACD Problem.,http://doi.acm.org/10.1145/2660267.2660335,ccs,2014,,,
A Plea for Utilising Synthetic Data when Performing Machine Learning Based Cyber-Security Experiments.,http://doi.acm.org/10.1145/2666652.2666663,ccsaisec,2014,,,
A QoE Perspective on Sizing Network Buffers.,http://doi.acm.org/10.1145/2663716.2663730,imc,2014,,,
A Scalable Implementation of Fully Homomorphic Encryption Built on NTRU.,https://doi.org/10.1007/978-3-662-44774-1_18,fcw,2014,,,
A Secure Data Deduplication Scheme for Cloud Storage.,https://doi.org/10.1007/978-3-662-45472-5_8,fc,2014,,,
A Short Paper on How to Improve U-Prove Using Self-Blindable Certificates.,https://doi.org/10.1007/978-3-662-45472-5_17,fc,2014,,,
A Study of Probabilistic Password Models.,https://doi.org/10.1109/SP.2014.50,sp,2014,,,
A Systematic Approach to Developing and Evaluating Website Fingerprinting Defenses.,http://doi.acm.org/10.1145/2660267.2660362,ccs,2014,,,
A Tale of Two Kernels: Towards Ending Kernel Hardening Wars with Split Kernel.,http://doi.acm.org/10.1145/2660267.2660331,ccs,2014,,,
