Paper, URL, Conference, Year,data,description,txtName
A Birthday Present Every Eleven Wallets? The Security of Customer-Chosen Banking PINs.,https://doi.org/10.1007/978-3-642-32946-3_3,fc,2012,,,
A Cache Timing Attack on AES in Virtualization Environments.,https://doi.org/10.1007/978-3-642-32946-3_23,fc,2012,,,
A Conundrum of Permissions: Installing Applications on an Android Smartphone.,https://doi.org/10.1007/978-3-642-34638-5_6,fcw,2012,,,
A cross-protocol attack on the TLS protocol.,http://doi.acm.org/10.1145/2382196.2382206,ccs,2012,,,
A Framework to Eliminate Backdoors from Response-Computable Authentication.,https://doi.org/10.1109/SP.2012.10,sp,2012,,,
A General Approach for Efficiently Accelerating Software-based Dynamic Data Flow Tracking on Commodity Hardware.,http://www.internetsociety.org/general-approach-efficiently-accelerating-software-based-dynamic-data-flow-tracking-commodity,ndss,2012,,,
A Non-interactive Range Proof with Constant Communication.,https://doi.org/10.1007/978-3-642-32946-3_14,fc,2012,,,
A Refined Ethical Impact Assessment Tool and a Case Study of Its Application.,https://doi.org/10.1007/978-3-642-34638-5_10,fcw,2012,,,
A Secure Architecture for the Range-Level Command and Control System of a National Cyber Range Testbed.,https://www.usenix.org/conference/cset12/workshop-program/presentation/rosenstein,usscset,2012,,,
A software-hardware architecture for self-protecting data.,http://doi.acm.org/10.1145/2382196.2382201,ccs,2012,,,
Abuse Detection and Prevention Systems at a Large Scale Video Sharing Website.,http://www.internetsociety.org/abuse-detection-and-prevention-systems-large-scale-video-sharing-website,ndss,2012,,,
Abusing File Processing in Malware Detectors for Fun and Profit.,https://doi.org/10.1109/SP.2012.15,sp,2012,,,
"Access Pattern disclosure on Searchable Encryption: Ramification, Attack and Mitigation.",http://www.internetsociety.org/access-pattern-disclosure-searchable-encryption-ramification-attack-and-mitigation,ndss,2012,,,
Accountable Wiretapping -or- I know they can hear you now.,http://www.internetsociety.org/accountable-wiretapping-or-i-know-they-can-hear-you-now,ndss,2012,,,
Adaptive defenses for commodity software through virtual application partitioning.,http://doi.acm.org/10.1145/2382196.2382214,ccs,2012,,,
Adaptive Password-Strength Meters from Markov Models.,http://www.internetsociety.org/adaptive-password-strength-meters-markov-models,ndss,2012,,,
AdSplit: Separating Smartphone Advertising from Applications.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/shekhar,uss,2012,,,
Aligot: cryptographic function identification in obfuscated binary programs.,http://doi.acm.org/10.1145/2382196.2382217,ccs,2012,,,
An Evaluation of the Google Chrome Extension Security Architecture.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/carlini,uss,2012,,,
An historical examination of open source releases and their vulnerabilities.,http://doi.acm.org/10.1145/2382196.2382218,ccs,2012,,,
An information theoretic framework for web inference detection.,http://doi.acm.org/10.1145/2381896.2381902,ccsaisec,2012,,,
"Analysis of a /0"" stealth scan from a botnet.""",http://doi.acm.org/10.1145/2398776.2398778,imc,2012,,,
Analyzing Resiliency of the Smart Grid Communication Architectures under Cyber Attack.,https://www.usenix.org/conference/cset12/workshop-program/presentation/almajali,usscset,2012,,,
ANDaNA: Anonymous Named Data Networking Application.,http://www.internetsociety.org/andana-anonymous-named-data-networking-application,ndss,2012,,,
