Paper, URL, Conference, Year,data,description,txtName
Before we knew it: an empirical study of zero-day attacks in the real world.,http://doi.acm.org/10.1145/2382196.2382284,ccs,2012,,,p833-bilge 2.31.53 PM.txt
Network performance of smart mobile handhelds in a university campus WiFi network.,http://doi.acm.org/10.1145/2398776.2398809,imc,2012,,,p315-chen 2.31.52 PM.txt
SmartWalk: Enhancing Social Network Security via Adaptive Random Walks.,http://doi.acm.org/10.1145/2976749.2978319,ccs,2016,,,p492-liu.txt
FreeMarket: Shopping for free in Android applications.,http://www.internetsociety.org/freemarket-shopping-free-android-applications,ndss,2012,,,05_2.txt
Deploying Secure Multi-Party Computation for Financial Data Analysis - (Short Paper).,https://doi.org/10.1007/978-3-642-32946-3_5,fc,2012,,,paper_37.txt
Aggregating CL-Signatures Revisited: Extended Functionality and Better Efficiency.,https://doi.org/10.1007/978-3-642-39884-1_14,fc,2013,,,5-2.txt
DCast: sustaining collaboration in overlay multicast despite rational collusion.,http://doi.acm.org/10.1145/2382196.2382256,ccs,2012,,,p567-yu 2.31.53 PM.txt
COMPA: Detecting Compromised Accounts on Social Networks.,http://internetsociety.org/doc/compa-detecting-compromised-accounts-social-networks,ndss,2013,,,05_3_0.txt
Per-Input Control-Flow Integrity.,http://doi.acm.org/10.1145/2810103.2813644,ccs,2015,,,p914-niu.txt
Preventing Cryptographic Key Leakage in Cloud Virtual Machines.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/pattuk,uss,2014,,,sec14-paper-pattuck 2.31.52 PM.txt
APISan: Sanitizing API Usages through Semantic Cross-Checking.,https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/yun,uss,2016,,,sec16_paper_yun.txt
"HILTI: an Abstract Execution Environment for Deep, Stateful Network Traffic Analysis.",http://doi.acm.org/10.1145/2663716.2663735,imc,2014,,,p461-sommer.txt
Making Smart Contracts Smarter.,http://doi.acm.org/10.1145/2976749.2978309,ccs,2016,,,p254-luu 2.31.51 PM.txt
Enabling Practical Software-defined Networking Security Applications with OFX.,http://www.internetsociety.org/sites/default/files/blogs-media/enabling-practical-software-defined-networking-security-applications-ofx.pdf,ndss,2016,,,
Distillation as a Defense to Adversarial Perturbations Against Deep Neural Networks.,https://doi.org/10.1109/SP.2016.41,sp,2016,,,07546524.txt
Interdependent Privacy: Let Me Share Your Data.,https://doi.org/10.1007/978-3-642-39884-1_29,fc,2013,,,10-1.txt
Effective Attacks and Provable Defenses for Website Fingerprinting.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/wang_tao,uss,2014,,,sec14-paper-wang-tao 2.31.52 PM.txt
"The Long Taile"" of Typosquatting Domain Names.""",https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/szurdi,uss,2014,,,sec14-paper-szurdi 2.31.51 PM.txt
BareCloud: Bare-metal Analysis-based Evasive Malware Detection.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/kirat,uss,2014,,,sec14-paper-kirat 2.31.52 PM.txt
Security analysis of integrated circuit camouflaging.,http://doi.acm.org/10.1145/2508859.2516656,ccs,2013,,,p709-rajendran.txt
Secure Multiparty Computations on Bitcoin.,https://doi.org/10.1109/SP.2014.35,sp,2014,,,06956580.txt
Differentially Private Online Active Learning with Applications to Anomaly Detection.,http://doi.acm.org/10.1145/2996758.2996766,ccsaisec,2016,,,p117-ghassemi.txt
Identifying Cross-origin Resource Status Using Application Cache.,http://www.internetsociety.org/doc/identifying-cross-origin-resource-status-using-application-cache,ndss,2015,,,01_1_2.txt
PREDATOR: Proactive Recognition and Elimination of Domain Abuse at Time-Of-Registration.,http://doi.acm.org/10.1145/2976749.2978317,ccs,2016,,,p1568-hao 2.31.51 PM.txt
A fistful of bitcoins: characterizing payments among men with no names.,http://doi.acm.org/10.1145/2504730.2504747,imc,2013,,,p127-meiklejohn.txt
Oxymoron: Making Fine-Grained Memory Randomization Practical by Allowing Code Sharing.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/backes,uss,2014,,,sec14-paper-backes 2.31.52 PM.txt
Å___‹¢oêêê_oêêê_: Forward Secure Searchable Encryption.,http://doi.acm.org/10.1145/2976749.2978303,ccs,2016,,,p1143-bost 2.31.51 PM.txt
Automating Efficient RAM-Model Secure Computation.,https://doi.org/10.1109/SP.2014.46,sp,2014,,,06956591.txt
Clear and Present Data: Opaque Traffic and its Security Implications for the Future.,http://internetsociety.org/doc/clear-and-present-data-opaque-traffic-and-its-security-implications-future,ndss,2013,,,11_2_0.txt
Enhanced Certificate Transparency and End-to-End Encrypted Mail.,http://www.internetsociety.org/doc/enhanced-certificate-transparency-and-end-end-encrypted-mail,ndss,2014,,,12_2_1.txt
Key Confirmation in Key Exchange: A Formal Treatment and Implications for TLS 1.3.,https://doi.org/10.1109/SP.2016.34,sp,2016,,,07546517.txt
A11y Attacks: Exploiting Accessibility in Operating Systems.,http://doi.acm.org/10.1145/2660267.2660295,ccs,2014,,,p103-jang.txt
Thwarting Cache Side-Channel Attacks Through Dynamic Software Diversity.,http://www.internetsociety.org/doc/thwarting-cache-side-channel-attacks-through-dynamic-software-diversity,ndss,2015,,,05_4_1.txt
Understanding the super-sized traffic of the super bowl.,http://doi.acm.org/10.1145/2504730.2504770,imc,2013,,,p353-erman.txt
Automatic Inference of Search Patterns for Taint-Style Vulnerabilities.,https://doi.org/10.1109/SP.2015.54,sp,2015,,,07163061.txt
Taster's choice: a comparative analysis of spam feeds.,http://doi.acm.org/10.1145/2398776.2398821,imc,2012,,,p427-pitsillidis 2.31.52 PM.txt
The devil is in the (implementation) details: an empirical analysis of OAuth SSO systems.,http://doi.acm.org/10.1145/2382196.2382238,ccs,2012,,,p378-sun 2.31.52 PM.txt
SEDA: Scalable Embedded Device Attestation.,http://doi.acm.org/10.1145/2810103.2813670,ccs,2015,,,p964-asokan.txt
Secure two-party computation in sublinear (amortized) time.,http://doi.acm.org/10.1145/2382196.2382251,ccs,2012,,,p513-gordon 2.31.52 PM.txt
Geo-indistinguishability: differential privacy for location-based systems.,http://doi.acm.org/10.1145/2508859.2516735,ccs,2013,,,p901-andres.txt
ROPecker: A Generic and Practical Approach For Defending Against ROP Attacks.,http://www.internetsociety.org/doc/ropecker-generic-and-practical-approach-defending-against-rop-attacks,ndss,2014,,,02_1_1.txt
On the Security of RC4 in TLS.,https://www.usenix.org/conference/usenixsecurity13/technical-sessions/paper/alFardan,uss,2013,,,sec13-paper_alfardan.txt
Raccoon: Closing Digital Side-Channels through Obfuscated Execution.,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/rane,uss,2015,,,sec15-paper-rane.txt
New Attacks on Timing-based Network Flow Watermarks.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/zin,uss,2012,,,sec12-final77.txt
Is There WiFi Yet?: How Aggressive Probe Requests Deteriorate Energy and Throughput.,http://doi.acm.org/10.1145/2815675.2815709,imc,2015,,,p317-hu.txt
The Bitcoin Brain Drain: Examining the Use and Abuse of Bitcoin Brain Wallets.,https://doi.org/10.1007/978-3-662-54970-4_36,fc,2016,,,
Machine Learning Classification over Encrypted Data.,http://www.internetsociety.org/doc/machine-learning-classification-over-encrypted-data,ndss,2015,,,04_1_2.txt
Dynamic Hooks: Hiding Control Flow Changes within Non-Control Data.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/vogl,uss,2014,,,sec14-paper-vogl 2.31.52 PM.txt
Touching from a distance: website fingerprinting attacks and defenses.,http://doi.acm.org/10.1145/2382196.2382260,ccs,2012,,,p605-cai 2.31.52 PM.txt
ShadowCrypt: Encrypted Web Applications for Everyone.,http://doi.acm.org/10.1145/2660267.2660326,ccs,2014,,,p1028-he.txt
Security Analysis of the Estonian Internet Voting System.,http://doi.acm.org/10.1145/2660267.2660315,ccs,2014,,,p703-springall.txt
Password Managers: Attacks and Defenses.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/silver,uss,2014,,,sec14-paper-silver 2.31.52 PM.txt
"Access Pattern disclosure on Searchable Encryption: Ramification, Attack and Mitigation.",http://www.internetsociety.org/access-pattern-disclosure-searchable-encryption-ramification-attack-and-mitigation,ndss,2012,,,06_1.txt
ARMageddon: Cache Attacks on Mobile Devices.,https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/lipp,uss,2016,,,sec16_paper_lipp.txt
SoK: Research Perspectives and Challenges for Bitcoin and Cryptocurrencies.,https://doi.org/10.1109/SP.2015.14,sp,2015,,,07163021.txt
Oblivious Decision Programs from Oblivious Transfer: Efficient Reductions.,https://doi.org/10.1007/978-3-642-32946-3_20,fc,2012,,,paper_44.txt
DeepDroid: Dynamically Enforcing Enterprise Policy on Android Devices.,http://www.internetsociety.org/doc/deepdroid-dynamically-enforcing-enterprise-policy-android-devices,ndss,2015,,,02_5_1.txt
Towards a Framework for Evaluating BGP Security.,https://www.usenix.org/conference/cset12/workshop-program/presentation/maennel,usscset,2012,,,cset12-final19.txt
Peering at Peerings: On the Role of IXP Route Servers.,http://doi.acm.org/10.1145/2663716.2663757,imc,2014,,,p31-richter.txt
How to Challenge and Cast Your e-Vote.,https://doi.org/10.1007/978-3-662-54970-4_8,fc,2016,,,08_Guasch 2.31.51 PM.txt
"From Patches to Honey-Patches: Lightweight Attacker Misdirection, Deception, and Disinformation.",http://doi.acm.org/10.1145/2660267.2660329,ccs,2014,,,p942-araujo.txt
Just-In-Time Code Reuse: On the Effectiveness of Fine-Grained Address Space Layout Randomization.,https://doi.org/10.1109/SP.2013.45,sp,2013,,,
EdgeMiner: Automatically Detecting Implicit Control Flow Transitions through the Android Framework.,http://www.internetsociety.org/doc/edgeminer-automatically-detecting-implicit-control-flow-transitions-through-android-framework,ndss,2015,,,02_3_2.txt
On the Security and Performance of Proof of Work Blockchains.,http://doi.acm.org/10.1145/2976749.2978341,ccs,2016,,,p3-gervais 2.31.51 PM.txt
Tappan Zee (north) bridge: mining memory accesses for introspection.,http://doi.acm.org/10.1145/2508859.2516697,ccs,2013,,,p839-dolangavitt.txt
Bypassing Space Explosion in Regular Expression Matching for Network Intrusion Detection and Prevention Systems.,http://www.internetsociety.org/bypassing-space-explosion-regular-expression-matching-network-intrusion-detection-and-prevention,ndss,2012,,,P12_3.txt
SoK: P2PWNED - Modeling and Evaluating the Resilience of Peer-to-Peer Botnets.,https://doi.org/10.1109/SP.2013.17,sp,2013,,,06547104 2.31.52 PM.txt
Simulating Malicious Insiders in Real Host-Monitored User Data.,https://www.usenix.org/conference/cset14/workshop-program/presentation/lindauer,usscset,2014,,,cset14-paper-wallnau.txt
Affiliate Crookies: Characterizing Affiliate Marketing Abuse.,http://doi.acm.org/10.1145/2815675.2815720,imc,2015,,,p41-chachra.txt
Thwarting Fake OSN Accounts by Predicting their Victims.,http://doi.acm.org/10.1145/2808769.2808772,ccsaisec,2015,,,p81-boshmaf.txt
"Detecting Hoaxes, Frauds, and Deception in Writing Style Online.",https://doi.org/10.1109/SP.2012.34,sp,2012,,,06234430 2.31.53 PM.txt
Uncovering Large Groups of Active Malicious Accounts in Online Social Networks.,http://doi.acm.org/10.1145/2660267.2660269,ccs,2014,,,p477-cao.txt
Are You at Risk? Profiling Organizations and Individuals Subject to Targeted Attacks.,https://doi.org/10.1007/978-3-662-47854-7_2,fc,2015,,,
What Satoshi Did Not Know.,https://doi.org/10.1007/978-3-662-47854-7_1,fc,2015,,,
A Secure Sharding Protocol For Open Blockchains.,http://doi.acm.org/10.1145/2976749.2978389,ccs,2016,,,p17-luu 2.31.51 PM.txt
Coupon Collector's Problem for Fault Analysis against AES - High Tolerance for Noisy Fault Injections.,https://doi.org/10.1007/978-3-642-39884-1_18,fc,2013,,,7-1.txt
Explicit Optimal Binary Pebbling for One-Way Hash Chain Reversal.,https://doi.org/10.1007/978-3-662-54970-4_18,fc,2016,,,18_Schoenmakers 2.31.51 PM.txt
Analysis of the HTTPS certificate ecosystem.,http://doi.acm.org/10.1145/2504730.2504755,imc,2013,,,p291-durumeric.txt
Hawk: The Blockchain Model of Cryptography and Privacy-Preserving Smart Contracts.,https://doi.org/10.1109/SP.2016.55,sp,2016,,,07546538.txt
Cell vs. WiFi: on the performance of metro area mobile connections.,http://doi.acm.org/10.1145/2398776.2398808,imc,2012,,,p301-sommers 2.31.53 PM.txt
My Smartphone Knows What You Print: Exploring Smartphone-based Side-channel Attacks Against 3D Printers.,http://doi.acm.org/10.1145/2976749.2978300,ccs,2016,,,p895-song 2.31.51 PM.txt
TaoStore: Overcoming Asynchronicity in Oblivious Data Storage.,https://doi.org/10.1109/SP.2016.20,sp,2016,,,07546503.txt
Function Secret Sharing: Improvements and Extensions.,http://doi.acm.org/10.1145/2976749.2978429,ccs,2016,,,p1292-boyle 2.31.51 PM.txt
TapDance: End-to-Middle Anticensorship without Flow Blocking.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/wustrow,uss,2014,,,sec14-paper-wustrow 2.31.52 PM.txt
Practical constructions and new proof methods for large universe attribute-based encryption.,http://doi.acm.org/10.1145/2508859.2516672,ccs,2013,,,p463-rouselakis.txt
Practical Attacks Against Privacy and Availability in 4G/LTE Mobile Communication Systems.,http://www.internetsociety.org/sites/default/files/blogs-media/practical-attacks-against-privacy-availability-4g-lte-mobile-communication-systems.pdf,ndss,2016,,,
Robust detection of comment spam using entropy rate.,http://doi.acm.org/10.1145/2381896.2381907,ccsaisec,2012,,,p59-kantchelian 2.31.52 PM.txt
Privacy Enhanced Access Control for Outsourced Data Sharing.,https://doi.org/10.1007/978-3-642-32946-3_17,fc,2012,,,paper_47.txt
Garbled Searchable Symmetric Encryption.,https://doi.org/10.1007/978-3-662-45472-5_15,fc,2014,,,fc14_submission_39.txt
