Name,URL,Conf.,Year,Used,Description,Produced,Description,Data
"Analysis of a /0"" stealth scan from a botnet.""",http://doi.acm.org/10.1145/2398776.2398778,imc,2012,,DShield is a constantly updated reposi- tory of scanning and attack reports|MAWI WIDE Samplepoint-F,"This 12-day scan originated from approxi- mately 3 million distinct IP addresses, ",,
Detecting prefix hijackings in the internet with argus.,http://doi.acm.org/10.1145/2398776.2398779,imc,2012,,The LRM accomplishes this task by maintaining a local database of candidate live IP addresses in all announced pre- fixes in the Internet ,,"Argus has been continuously monitoring the Internet for one year, starting from May 2, 2011 ",
Concurrent prefix hijacks: occurrence and impacts.,http://doi.acm.org/10.1145/2398776.2398780,imc,2012,,WHOIS ,,"Applying our algorithm to BGP data collected by Route- Views Oregon collector, we detect totally 60 concurrent pre- fix hijacks from 2003 through 2010, ",
Classifying internet one-way traffic.,http://doi.acm.org/10.1145/2398776.2398781,imc,2012,,We use data from a regional academic backbone network that serves 46 single-homed universities and research insti- tutes ,,We built a monitoring setup and collected packet traces at the Internet gateway of the Swiss university Hochschule fu _r Technik Rapperswil ,
RasterZip: compressing network monitoring data with support for partial decompression.,http://doi.acm.org/10.1145/2398776.2398783,imc,2012,,,,,
Wire-speed statistical classification of network traffic on commodity hardware.,http://doi.acm.org/10.1145/2398776.2398784,imc,2012,,Real traffic consists of a packet-level trace sniffed in 2009 ,,,
Fathom: a browser-based network measurement platform.,http://doi.acm.org/10.1145/2398776.2398786,imc,2012,,,,,
Mitigating sampling error when measuring internet client IPv6 capabilities.,http://doi.acm.org/10.1145/2398776.2398787,imc,2012,,,,We use the data collected between 16th of May 2011 and 19th of February 2012 ,
MAPLE: a scalable architecture for maintaining packet latency measurements.,http://doi.acm.org/10.1145/2398776.2398788,imc,2012,,,,,
Can you GET me now?: estimating the time-to-first-byte of HTTP transactions with passive measurements.,http://doi.acm.org/10.1145/2398776.2398789,imc,2012,,,,we collect two packet traces at Gn links of a major U.S. cellu- lar carrier ,
Towards geolocation of millions of IP addresses.,http://doi.acm.org/10.1145/2398776.2398790,imc,2012,,To evaluate this conjecture we begin with 400 vantage points ,,"Instead, we evaluate Shortest Ping and CBG on each of 10,000 ran- domly chosen subsets.|we have geolocated 78 /8s, about 35% of the allocated, unicast, IPv4 address-space.",
"Evolution of social-attribute networks: measurements, modeling, and implications using google+.",http://doi.acm.org/10.1145/2398776.2398792,imc,2012,,,,we began to crawl daily snapshots of pub- lic Google+ social network structure and user profiles ,
Evolution of a location-based online social network: analysis and models.,http://doi.acm.org/10.1145/2398776.2398793,imc,2012,,we have downloaded daily snapshots of Gowalla data ,,,
New kid on the block: exploring the google+ social graph.,http://doi.acm.org/10.1145/2398776.2398794,imc,2012,,,,We used a total of 11 machines with different IP addresses to efficiently gather large amount of data ,
Multi-scale dynamics in a massive online social network.,http://doi.acm.org/10.1145/2398776.2398795,imc,2012,,"Our anonymized dataset encompasses the timestamped creation events of all users and edges in the social network. The dataset covers more than 2 years, starting on Novem- ber 21, 2005 and ending December 31, 2007. ",,,
Watching videos from everywhere: a study of the PPTV mobile VoD system.,http://doi.acm.org/10.1145/2398776.2398797,imc,2012,,Our dataset was collected from the log servers of PPTV ,,,
Program popularity and viewer behaviour in a large TV-on-demand system.,http://doi.acm.org/10.1145/2398776.2398798,imc,2012,,,,,
Video stream quality impacts viewer behavior: inferring causality using quasi-experimental designs.,http://doi.acm.org/10.1145/2398776.2398799,imc,2012,,The data sets that we use for our analysis are collected from a large cross section of actual users around the world who play videos using media players that incorporate the widely-deployed Akamai’s client-side media analytics plug in ,,,
"Confused, timid, and unstable: picking a video streaming rate is hard.",http://doi.acm.org/10.1145/2398776.2398800,imc,2012,,,,,
Routing state distance: a path-based metric for network analysis.,http://doi.acm.org/10.1145/2398776.2398802,imc,2012,,"To evaluate our methods, we use a collection of BGP ta- bles collected on midnight UTC on December 6, 2011 from the Routeviews [18] and RIPE [16] repositories. ",,,
On the incompleteness of the AS-level graph: a novel methodology for BGP route collector placement.,http://doi.acm.org/10.1145/2398776.2398803,imc,2012,,"There are three main projects that collect BGP data and make it publicly available on the web: RouteViews, RIS and PCH. ",,,
Quantifying violations of destination-based forwarding on the internet.,http://doi.acm.org/10.1145/2398776.2398804,imc,2012,,,,"we recorded more than 260,000 traces using 179 PlanetLab sites, 65 of which do not filter source-spoofed packets.",
Revisiting broadband performance.,http://doi.acm.org/10.1145/2398776.2398805,imc,2012,,"The data we use in this study were collected from Speedtest servers located in 59 metro areas over a period of six months from June 1, 2011 through November 30, 2011 ",,,
