Reviewer,Paper name,URL,Conference,Year,DHS funding,Origin,Description,Public?,In IMPACT / PREDICT?,Data link,Research or Industry?,Main Category,Sub Category,Note,citeNum
Hannah,Detecting Advanced Persistent Threats using Fractal Dimension based Machine Learning Classification ,http://dl.acm.org/citation.cfm?id=2875484,ACM on Privacy and Security Analytics,2016,No,Existing,"APTs were collected from Contagio malware database, ",Public,No,https://www.mediafire.com/folder/c2az029ch6cke/TRAFFIC_PATTERNS_COLLECTION#734479hwy1b97 ,Industry,Attacker Related,Attacks,,5
Hannah,Detecting Advanced Persistent Threats using Fractal Dimension based Machine Learning Classification ,http://dl.acm.org/citation.cfm?id=2875484,ACM on Privacy and Security Analytics,2016,No,Existing,DARPA Scalable Network Monitoring (SNM) Program Traffic,Public,DS-303,/,Industry,Macro-level Internet Characteristics,Network Traces,,5
Hannah,A Day at the Root of the Internet,https://www.caida.org/publications/papers/2008/root_internet/root_internet.pdf,ACM SIGCOMM Computer Communication Review,2008,No,Existing,Backscatter-2008,Public,DS-380,https://www.impactcybertrust.org/dataset_view?idDataset=380,Research,Attacker Related,Attacks,,68
Hannah,Inferring Internet Denial-of-Service Activity,https://cseweb.ucsd.edu/~savage/papers/UsenixSec01.pdf,ACM TOCS 2006,2006,No,Create Primary,"We use SPARTA [5] to verify flow from the ACG UI to theresource itself and onward.  SPARTA is an information flowtool  which  uses  static  type-checking  to  infer  illegal  flows.SPARTA operates on the source code. ",Public,DS-385,https://www.impactcybertrust.org/dataset_view?idDataset=385,Research,Attacker Related,Attacks,,1775
Hannah,"Geolife: A collaborative social networking service among user, location and trajectory.",http://sites.computer.org/debull/A10june/geolife.pdf,Bulletin of the IEEE Computer Society Technical Committee on Data Engineering,2010,No,Create Primary,"Geolife data was collected from 182 users in a period of over three years. It recorded a wide range of users_验 outdoor movements, represented by a series of tuples containing latitude, longitude and timestamp.",Public,No,/,Research,Users & Organizations Characteristics,User Activities,,492
Muwei,Certified PUP: Abuse in Authenticode Code Signing,http://dl.acm.org/citation.cfm?doid=2810103.2813669,CCS,2015,No,Create Derivative,"The certificate blacklist output by our infrastructure contains 2,170 CA-issued code signing certificates",No,No,/,Research,Attacker Related,Attacks,,9
Muwei,Seeing through Network-Protocol Obfuscation,http://dl.acm.org/citation.cfm?doid=2810103.2813715,CCS,2015,No,Create Derivative,"We will first analyze the performance of ML-based attacks using the synthetic datasets, and then present the false-positive rates seen on the campus traces.",No,No,/,Research,Attacker Related,Attacks,classifier,15
Muwei,From Facepalm to Brain Bender: Exploring Client-Side Cross-Site Scripting,http://dl.acm.org/citation.cfm?doid=2810103.2813625,CCS,2015,No,Create Derivative,"analyze a set of 1,273 real-world vulnerabilities contained on the Alexa Top 10k domains using a specifically designed architecture",No,No,/,Industry,Attacker Related,Vulnerabilities,,5
Muwei,VCCFinder: Finding Potential Vulnerabilities in Open-Source Projects to Assist Code Audits,http://dl.acm.org/citation.cfm?doid=2810103.2813604,CCS,2015,No,Create Derivative,we created a database of commits that introduced known vulnerabilities in open- source projects and which features we extracted from the commits.,Yes,No,https://www.dropbox.com/s/x1shbyw0nmd2x45/vcc-database.dump?dl=0,Research,Attacker Related,Vulnerabilities,,13
Muwei,The SICILIAN Defense: Signature-based Whitelisting of Web JavaScript,http://dl.acm.org/citation.cfm?doid=2810103.2813710,CCS,2015,No,Create Derivative,"Based on our observation on 33,302 scripts hosted on Alexa's top 500 sites, 93% of the scripts remain static over time and the rest 7% change",No,No,/,Research,Macro-level Internet Characteristics,Applications,,5
