freq,words
634,the
322,and
145,from
139,for
132,our
99,data
93,that
86,dataset
75,with
62,this
57,use
54,are
51,collected
49,domain   used
48,user
47,set
45,address   top
44,datasets
43,which
37,each
36,attack   two
34,all   list   using
32,their
31,alexa   first   password
30,server   these   website   were
29,over   security
28,apps   number
27,database
26,different   service
25,network   result
24,file   one   site   total
23,application   collect   dns   section   web
22,analysis   email   experiment   exploit   page   system
21,also   order   vulnerability
20,popular   scan   them
19,have   http   million   more
18,between   contains   found   information   month   not   table   three   time   traffic
17,collection   how   than   trace
16,about   can   code   evaluate   study
15,including   large   malicious   online   unique
14,"5,000   android   certificate   google   public   record   research   well"
13,based   during   find   measurement   only   other   packet   paper   prefix   real   request   sample   source   test   through   various   year
12,amount   available   host   internet   ipv4   january   log   period   project   same   version
11,behavior   company   content   function   image   ipv6   jan   library   malware   obtain   provider   relationship   there   those
10,allocation   any   approach   change   client   crawled   crawler   day   end   evaluation   figure   following   graph   ground   name   new   node   per   policy   random   real-world   reported   repository   social   they   tor   truth   within
9,account   but   caida   detection   feed   five   four   framework   identified   infrastructure   like   many   most   obtained   participant   performance   performed   point   received   show   spam   ssl   type
8,able   activity   analyzed   around   build   consists   corresponding   country   created   dec   distinct   evaluated   feature   impact   implementation   ing   match   may   methodology   normal   observed   route   search   selected   since   size   software   some   step   then   training   url   when
7,"10,000   3.1   after   browser   comparison   conducted   configured   could   december   finding   fingerprinting   further   includes   labeled   leak   link   location   made   major   mapping   matching   method   model   october   probe   process   ran   run   structure   such   third   validation   vulnerable   without   work"
6,access   adoption   against   being   both   botnet   built   business   captured   case   category   characteristic   containing   descriptor   determine   edge   effort   every   existing   full   given   global   header   implemented   into   java   line   map   metric   multi   multiple   need   out   package   planetlab   play   port   posted   property   publicly   query   recent   several   ssh   store   strength   support   target   technique   tested   topology   visit   while   yahoo
